ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	
1.0397626352223087e+100	26.432	6.508	24.756	17.77	0.19871271115960712	0	0	147	10	137	98	3	3	3	2	32	0	0.8556394577026367	500	0.8556394577026367	
57105208.37382528	23.922	8.257971014492753	19.553623188405798	13.950724637681159	0.19871271115960712	1	156	141	32.0	101.0	74.0	2	2.0	2.0	1.0	47	0	0.46652698516845703	1000	1.3221664428710938	
4.627102148054065e+38	24.928	7.632941176470588	16.56235294117647	11.868235294117648	0.19871271115960712	2	231	139	30.0	97.0	71.0	2	2.0	2.0	1.0	54	0	0.39650774002075195	1500	1.7186741828918457	
174897456086.1376	26.408	7.486547085201794	15.919282511210762	11.477578475336323	0.19871271115960712	3	286	97	22.0	78.0	53.0	1	2.0	2.0	1.0	59	0	0.43542981147766113	2000	2.154103994369507	
969424622894892.9	26.184	7.3076923076923075	14.534188034188034	10.547008547008547	0.1980594493337856	4	319	72	21.0	66.0	47.0	2	2.0	2.0	1.0	68	0	0.4572322368621826	2500	2.6113362312316895	
3.433992848794874	27.908	7.36864406779661	14.332627118644067	10.483050847457626	0.1980594493337856	5	347	86	28.0	70.0	54.0	3	2.0	2.0	1.0	77	0	0.4180448055267334	3000	3.029381036758423	
2477.39125817482	29.284	7.707264957264957	14.615384615384615	10.865384615384615	0.18555279835058713	6	380	81	23.0	72.0	52.0	3	2.0	2.0	1.0	84	0	0.3881042003631592	3500	3.417485237121582	
4.037018417070205e+18	31.862	8.099787685774947	15.388535031847134	11.48619957537155	0.18555279835058713	7	410	97	25.0	79.0	58.0	5	2.0	2.0	1.0	93	0	0.4015650749206543	4000	3.8190503120422363	
100.34756839145683	32.2	8.647058823529411	16.99579831932773	12.699579831932773	0.18555279835058713	8	434	95	26.0	89.0	67.0	3	2.0	2.0	1.0	98	0	0.4242086410522461	4500	4.243258953094482	
589457.9924597398	34.468	8.928721174004194	17.60377358490566	13.19706498951782	0.18555279835058713	9	458	104	25.0	91.0	68.0	3	2.0	2.0	1.0	108	0	0.43790149688720703	5000	4.6811604499816895	
2.050844557481592	35.252	8.99581589958159	17.88284518828452	13.364016736401673	0.18555279835058713	10	481	110	30.0	84.0	65.0	1	2.0	2.0	1.0	117	0	0.38891029357910156	5500	5.070070743560791	
36041.28552602271	34.686	9.41875	19.354166666666668	14.40625	0.18555279835058713	11	501	140	30.0	86.0	65.0	1	2.0	2.0	1.0	126	0	0.41600966453552246	6000	5.4860804080963135	
2.1607236688783268e+16	35.622	9.846790890269151	20.043478260869566	14.925465838509316	0.18555279835058713	12	519	118	26.0	85.0	64.0	4	2.0	2.0	1.0	133	0	0.41228604316711426	6500	5.898366451263428	
7.862607926512896e+27	36.348	9.72823779193206	19.683651804670912	14.64968152866242	0.18555279835058713	13	548	126	32.0	98.0	75.0	8	2.0	2.0	1.0	142	0	0.42310619354248047	7000	6.321472644805908	
1.2601364719443676e+34	39.184	9.150627615062762	18.771966527196653	13.880753138075313	0.18555279835058713	14	571	128	34.0	112.0	81.0	7	2.0	2.0	1.0	150	0	0.41991591453552246	7500	6.741388559341431	
88396085443.36896	40.286	9.309278350515465	19.490721649484534	14.490721649484536	0.18555279835058713	15	587	129	32.0	107.0	80.0	4	2.0	2.0	1.0	153	0	0.4696214199066162	8000	7.211009979248047	
1.896852336104305	42.33	9.56964656964657	21.08731808731809	15.584199584199585	0.18555279835058713	16	607	136	38.0	107.0	80.0	1	2.0	2.0	1.0	156	0	0.48127150535583496	8500	7.692281484603882	
2.8175338157801586	46.75	10.542094455852157	23.965092402464066	17.765913757700204	0.18555279835058713	17	621	150	41.0	139.0	102.0	2	2.0	2.0	1.0	161	0	0.4594402313232422	9000	8.151721715927124	
6.790553732679207e+28	50.452	10.860082304526749	25.228395061728396	18.656378600823047	0.18555279835058713	18	636	170	42.0	138.0	103.0	4	2.0	2.0	1.0	163	0	0.45618605613708496	9500	8.607907772064209	
3.128410146725188	53.432	11.262396694214877	26.915289256198346	19.985537190082646	0.18555279835058713	19	652	195	47.0	153.0	116.0	4	2.0	2.0	1.0	170	0	0.46002888679504395	10000	9.067936658859253	
1.0601718985650461	57.894	11.58713692946058	28.101659751037346	20.96265560165975	0.18555279835058713	20	671	174	47.0	176.0	134.0	3	2.0	2.0	1.0	176	0	0.46506476402282715	10500	9.53300142288208	
1.27980321149218	60.752	12.734151329243353	32.16155419222904	24.075664621676893	0.18409138260570002	21	682	181	43.0	178.0	135.0	5	2.0	2.0	1.0	183	0	0.5161275863647461	11000	10.049129009246826	
6599031642575.043	64.458	13.49390243902439	34.86178861788618	26.166666666666668	0.18409138260570002	22	691	185	47.0	199.0	144.0	4	2.0	2.0	1.0	190	0	0.4866905212402344	11500	10.53581953048706	
215679670763.35727	65.4	13.547717842323651	35.344398340248965	26.485477178423235	0.18409138260570002	23	710	207	46.0	164.0	121.0	4	2.0	2.0	1.0	199	0	0.4762544631958008	12000	11.012073993682861	
0.7798341639372561	67.592	13.061855670103093	34.67422680412371	25.9340206185567	0.18409138260570002	24	726	205	41.0	225.0	167.0	4	2.0	2.0	1.0	204	0	0.47503209114074707	12500	11.487106084823608	
447250254403976.2	72.442	13.55327868852459	36.424180327868854	27.389344262295083	0.18409138260570002	25	739	231	45.0	188.0	139.0	5	2.0	2.0	1.0	211	0	0.5004746913909912	13000	11.9875807762146	
1.0546717826414975	77.426	14.318458417849898	38.53144016227181	29.10953346855984	0.18409138260570002	26	746	250	52.0	223.0	163.0	5	2.0	2.0	1.0	219	0	0.5403087139129639	13500	12.527889490127563	
16.11528969763825	82.592	14.800813008130081	41.43089430894309	31.384146341463413	0.18409138260570002	27	754	291	50.0	238.0	183.0	8	2.0	2.0	1.0	229	0	0.5143775939941406	14000	13.042267084121704	
0.6709522637720275	84.33	15.01419878296146	42.03448275862069	31.841784989858013	0.18409138260570002	28	762	246	50.0	264.0	198.0	5	2.0	2.0	1.0	240	0	0.5230104923248291	14500	13.565277576446533	
79.10604323599927	87.37	14.829614604462474	42.251521298174445	31.89452332657201	0.18409138260570002	29	769	240	47.0	208.0	151.0	10	2.0	2.0	1.0	250	0	0.518388032913208	15000	14.083665609359741	
0.6590507670696555	84.764	14.552631578947368	42.178137651821864	31.785425101214575	0.18409138260570002	30	776	268	45.0	211.0	159.0	9	2.0	2.0	1.0	257	0	0.5359048843383789	15500	14.61957049369812	
3.8964295984291892	84.952	15.331975560081466	45.14867617107943	34.063136456211815	0.18409138260570002	31	786	284	49.0	265.0	200.0	8	2.0	2.0	1.0	264	0	0.5481827259063721	16000	15.167753219604492	
11.04283031145506	91.896	16.249488752556235	49.259713701431494	37.147239263803684	0.18409138260570002	32	798	308	48.0	248.0	188.0	6	2.0	2.0	1.0	266	0	0.5685579776763916	16500	15.736311197280884	
0.8109995056315712	86.398	16.350202429149796	49.67611336032389	37.402834008097166	0.18409138260570002	33	805	298	48.0	280.0	203.0	10	2.0	2.0	1.0	270	0	0.5621020793914795	17000	16.298413276672363	
1.1676629970018093	86.642	17.020242914979757	51.59109311740891	38.840080971659916	0.18409138260570002	34	812	243	51.0	228.0	169.0	8	2.0	2.0	1.0	274	0	0.5724301338195801	17500	16.870843410491943	
0.7032037500846315	87.5	16.94918699186992	50.9979674796748	38.420731707317074	0.18409138260570002	35	820	243	52.0	217.0	171.0	6	2.0	2.0	1.0	282	0	0.5836567878723145	18000	17.454500198364258	
1.293042962762679	95.464	17.803680981595093	55.98159509202454	42.030674846625764	0.18409138260570002	36	832	243	54.0	292.0	214.0	10	2.0	2.0	1.0	288	0	0.5992004871368408	18500	18.0537006855011	
1.2628116234408682	99.068	18.14256619144603	61.116089613034625	45.75356415478615	0.18409138260570002	37	842	258	57.0	284.0	210.0	16	2.0	2.0	1.0	294	0	0.6561164855957031	19000	18.7098171710968	
55507803838.19416	112.492	20.594650205761315	75.22839506172839	56.1522633744856	0.18409138260570002	38	857	299	64.0	375.0	271.0	11	2.0	2.0	1.0	296	0	0.6679091453552246	19500	19.377726316452026	
0.4242809780397248	116.334	21.321792260692465	80.74134419551935	60.29938900203666	0.18409138260570002	39	867	396	74.0	439.0	322.0	11	2.0	2.0	1.0	303	0	0.693617582321167	20000	20.071343898773193	
0.6673484145245611	118.274	21.822916666666668	81.42083333333333	60.88125	0.18409138260570002	40	888	478	74.0	425.0	313.0	11	2.0	2.0	1.0	307	0	0.7097592353820801	20500	20.781103134155273	
0.5878859328857482	127.84	22.83130081300813	90.60162601626017	67.78455284552845	0.18409138260570002	41	897	397	74.0	483.0	358.0	11	2.0	2.0	1.0	311	0	0.7454400062561035	21000	21.526543140411377	
1.1556260846090194	127.482	22.77319587628866	89.88041237113401	67.27628865979382	0.18409138260570002	42	912	369	76.0	482.0	349.0	11	2.0	2.0	1.0	312	0	0.719771146774292	21500	22.24631428718567	
0.7083886841295867	133.56	23.184804928131417	97.39219712525667	72.84188911704312	0.18409138260570002	43	926	469	75.0	637.0	462.0	7	2.0	2.0	1.0	315	0	0.7190918922424316	22000	22.9654061794281	
0.36916531003858843	144.072	24.646090534979425	105.35185185185185	79.09876543209876	0.18409138260570002	44	940	417	74.0	545.0	408.0	6	2.0	2.0	1.0	321	0	0.755291223526001	22500	23.7206974029541	
1.0926836752220264	144.096	24.53734439834025	106.2551867219917	79.9045643153527	0.18409138260570002	45	958	463	74.0	578.0	426.0	20	2.0	2.0	1.0	327	0	0.7566778659820557	23000	24.477375268936157	
0.7211906410076113	145.752	24.016359918200408	103.71370143149284	78.27811860940696	0.18409138260570002	46	969	637	67.0	558.0	405.0	11	2.0	2.0	1.0	331	0	0.7582213878631592	23500	25.235596656799316	
1.00679470890912	148.388	24.857142857142858	109.15102040816326	82.32040816326531	0.18409138260570002	47	979	451	71.0	560.0	405.0	15	2.0	2.0	1.0	333	0	0.8158245086669922	24000	26.05142116546631	
8.684757478295087e+34	149.476	24.014256619144604	106.89002036659878	80.61303462321793	0.18409138260570002	48	989	580	79.0	499.0	378.0	16	2.0	2.0	1.0	336	0	0.8351757526397705	24500	26.88659691810608	
5.666883596270702	148.524	25.344897959183672	111.42040816326531	84.05918367346939	0.18409138260570002	49	999	451	85.0	601.0	451.0	15	2.0	2.0	1.0	338	0	0.8312802314758301	25000	27.71787714958191	
1.655562605190182	157.958	25.24643584521385	115.58452138492872	87.36252545824847	0.18409138260570002	50	1008	459	83.0	601.0	451.0	13	2.0	2.0	1.0	343	0	0.8612403869628906	25500	28.5791175365448	
1.655562605190182	157.958	25.24643584521385	115.58452138492872	87.36252545824847	0.18409138260570002	50	1008	459	83.0	601.0	451.0	13	2.0	2.0	1.0	343	0	0.8612403869628906	25500	28.5791175365448	
